Id,Body_new
52972258,"Im new to AWS Lambda (and AWS in general)  I need to write some development code for AWS 
Since Lambda functions are billed by execution time and number of requests  Id like to guarantee that no out-of-control function or route spam would skyrocket costs out of my budget and put me in debt  (It is development code  so I expect there to be mistakes and I dont want them to be expensive ones )
I know AWS has budget alarms which send you emails  but this is not good enough for me  since it might take days/weeks until I notice a message somewhere 
Is there a way to tell AWS to shut down a service if it is exceeding a budget  Im looking for something similar to what DigitalOcean does  where you can set a fixed budget 
"
71469455,"Lets say a user needs some information from a database  When the user clicks a button  a request is routed through cloudfront to lambda at edge  which puts the request on an SQS queue  The SQS sends a batch of requests over to a lambda function  For each request  the lambda pulls relevant information from a dynamodb instance and returns it back to the client 
Is this flow possible  Whats missing to me here is how the request is actually routed back to the client session  Ive worked with API-Gateways where requests are sent to methods  I assume API-Gateway handles the routing here  but it isnt clear to me what exactly is happening when a request goes through cloudfront 
If the flow I first shared doesnt make sense  how would you set up a flow to handle 10 000 or 20 000 of these requests a minute  It seems having lambda handle requests in batches is the only possible way to do this with serverless  individual lambda instances just screw you on the start up/spin down times and costs
"
65786713,"Im having a Microservice Architecture completely build around AWS Lambda  also including a producer/listener which is loosely-coupled via SQS to the business lambda functions  Its working nicely via following approach:

lambda has a reserved concurrency of 1
gets triggered every 1 minute via CloudWatch Events: as the max concurrency is 1  if one instance is running  there wont be a parallel invocation if a function is already provisioned
if the function approaches the timeout of 15 minutes  it will shutdown itself gracefully

I did not experience any troubles yet &amp; the solution is really cost-efficient but as you probably already noticed  theres at least one major downside: the consumer/producer will be offline for up to 1 x minutes (next CloudWatch invocation could take up to 59s + bootstrapping the producer/listener) every ~15 minutes (max execution time for Lambda) 
Im not having any hard real-time requirements  but Im sure theres a better approach or improvements without switching to running a container in ECS  what I really want to avoid 
What are my options 
"
69285126,"mouthful title but the point is this  I have some data science pipelines with these requirements ( based):

are orchestrated with an internal orchestrator based off on a server
are run across a number of users/products /etc where N could be relatively high
the load of this jobs I want to distribute and not be tethered by the orchestrator server
these jobs are backed by a docker image
these jobs are relatively fast to run (from 1 second to 20 seconds  post data load)
these jobs most often require considerable I/O both coming in and out 
no  required
I want minimal hassle with scaling/provisioning/etc
data (in/out) would be stored in either a  space in a cluster or 
 image would be relatively large (encompasses data science stack)

I was trying to understand the most (a) cost-efficient but also (b) fast solution to parallelize this thing  candidates so far:


 with Container Image Support

please note for all intents and purposes scaling/computing within the cluster is not feasible
my issue is that I worry about the tradeoffs about huge data transfers (in aggregate terms)  huge costs in calling  images a bunch of times  time you would spend setting up containers in servers but very low time doing anything else  serverless management and debugging when things go wrong in case for lambda functions 
how generally are handled these kind of cases 
"
51475033,"So I have been working on a couple Lambda functions for a Alexa skills including DynamoDB (actually 5 tables each with 5 RCU/WCU  I am on the free tier and I havent used the work-in-progress functions for a couple of days  but today I realized in the cost overview that I have used about 9000 hours and will possibly use about 12000 at the end of the month  See here:

So was wondering why 
I know that you reserve the hourly capacity  And since none of the skills is live  I sticked with 5 RCU/WCU for each table (it says 25 RCU/WCU is okay for the free tier)  But these numbers doesnt make sense  
Or do they  
And the question is what happens when I scale this down to 1 RCU/WCU when all the skills go live  
I know that this would mean that only one request per second can be processed  but I am sure that this would be enough for the skills (at least for the first couple of month) - I guess that I wont have more than 200-300 monthly users  Will this significantly reduce the above numbers  Or will I be charged huge bill for some reason I dont understand after going though the documentation 
"
41789192,"How to build serverless web site on Azure  as auto-scaling  pay-per-execution  event-driven app 
There are tons of good examples how to build serverless-arhitecture web site on AWS Amazon  e g  
It consumes S3 for HTML and JS  Lambda for REST API  Simple DB for data 
Microsoft has Azure Functions that is analogue for AWS Lambda  but it is serverless computing  not serverless web site  I can create serverless REST API with Azure Functions  but what about HTML  JS  CSS for web site  database  etc   
I tried Azure App Service  but it lacks pay only for what you use option  as all plans have Monthly payments  as well as Azure SQL for database  And App Service doesnt seem to be constructed to host serverless-architecture web sites  more for classic ASP NET web sites that you can easily deploy there 
Also  there is popular library  and they even mentioned Azure: using AWS Lambda  Azure Functions  Google CloudFunctions &amp; more  but there is no a single example how to use it for Azure and all Docs are for Amazon AWS 
Thanks 
"
62491950,"Currently  my application resides in lambda which I serve using HTTP API (API Gateway V2)  This setup exists in multiple regions  Meaning  API Gateway invokes lambda in the same region which accesses DynamoDB Global Table in the same region  I use Route 53 to serve nearest API Gateway to user 
The problem I faced: API Gateway doesnt support redirection from http to https  I can achieve this with CloudFront  But  itll increase cost as well as latency 
Can I remove API Gateway from the equation and use Lambda@Edge to access DynamoDB Table near the user  Can CloudFront be used to replace API Gateway 
"
62356635,"I have a use case where an API backed by a lambda has to be latency critical for a few clients but there are clients how call the API with high volume in bursts and the latency restrictions are liberal   
We are using provisioned concurrency for the latency critical calls and do not want to use it for non latency critical calls as the cost is high  
Since provisioned concurrency can only be used with alias/version  is it possible to choose the lambda version at runtime based on the API Key 
Determine the client based on the API Key and point to the appropriate version  I am trying to avoid creating 2 API endpoints one for latency critical clients and the other for non-latency critical clients  
"
61241060,"I have a lambda function accessing a S3 bucket using 
There are a high number of operations(requests) to the S3 bucket  which is increasing considerably the cost to use lambda 
I was hoping that the requests use the  protocol but there are going over the internet
I understand that one solution could be:

Attach the Lambda to a VPC 
Create a VPC endpoint to S3
Update the route tables of the VPC 

Is there a simpler way to do so  
"
39249813,"I am submitting tasks (eventually this will be hundreds of thousands of tasks) to AWS lambda using   and I am interested in performance characteristics of the task: execution time  memory usage  etc 
Note that I will eventually want to compute various performance statistics and plots of the submitted tasks in costum code 
"
57070054,"I made some research about Containers  Serverless  and Virtual machines all of these has its own benefits like cost  deployments  reliability  etc  but I am still confused when to use these  and what kind of situations 
"
62959419,"I use AWS Simple Email Services (SES) for email  Ive configured SES to save incoming email to an S3 bucket  which triggers an AWS Lambda function  This function reads the new object and forwards the object contents to an alternate email address 
Id like to log some basic info  from my AWS Lambda function during invocation -- who the email is from  to whom it was sent  if it contained any links  etc 
Ideally Id save this info  to a database  but since AWS Lambda functions are costly (relatively so to other AWS ops )  Id like to do this as efficiently as possible 
I was thinking I could issue an HTTPS GET request to a private endpoint with a query-string containing the info  I want logged  Since I could fire my request async  at the outset and continue processing  I thought this might be a cheap and efficient approach 
Is this a good method  Are there any alternatives 
My Lambda function fires irregularly so despite Lambda functions being kept alive for 10 minutes or so post-firing  it seems a database connection is likely slow and costly since AWS charges per 100ms of usage 
Since I could conceivable get thousands of emails/month  ensuring my Lambda function is efficient is paramount to cost  I maintain 100s of domain names so my numbers arent exaggerated  Thanks in advance 
"
60253671,"I have an AWS Lambda function written in python that is starting to get a bit too big  It often runs over the AWS Lambda limit of 15 minutes  
The function is responsible for making loads of API calls  and unfortunately I have not taken the time to make them all async yet 
The workflow for the function looks something roughly like this:

Receive data for xxx clients (1 api call)
Place API call for each client and wait for response (xxx api calls)
Based on #2 API call response  place yet another API call for each client and wait for response (xxx api calls)
Store response from #3 in DynamoDB (xxx DB updates)

Initially my plan was to just keep everything in 1 lambda function  and modify my code such that all API calls run async  and to do one big dynamoDB batch update at the end 
However  it occurs to me that theoretically this function could still grow too large in the future  if we start needing to run it for enormous numbers of clients  Additionally  in my opinion  managing all those python async calls can be a bit cumbersome in specific situations 
My second approach  is to chain together lambda functions  That is  create a second lambda function  lets name it order_for_single_client  which perform steps #2-4 for just one client 
The top level lambda function will gather data on all clients  and for each one  make a separate lambda call to order_for_single_client  So  if we need to order for 500 clients  the top level function will just make 500 separate lambda calls  Naturally  all the async behavior should take care of itself on the end of AWS since it will run the lambda functions in parallel  (with the exception of the batch dynamoDB update we wanted  but we can worry about that later) 

What is the preferred way of handling this situation from an architecture perspective  Splitting things up into a lambda chain  or trying to speed things up using async inside a single lambda function 
If we were to implement the lambda chain  will it be more or less expensive to run at scale compared to the single function async approach 
Is there a third design solution to this problem that I have not considered  (Apart from spinning up an EC2 instance  which I would prefer not to do) 

"
61437558,"I am looking to work on real-time chat application in a serverless architecture  
I am new to AWS so did some research on it but I found may option to do so 
Like: 

app sync
WebSocket
elasticache redis

I am a bit confused about which I should go with 
I am looking for a cost-effective(low charges) setup for my app 
"
66247419,"Ie read AWS Lambda documentation for Quarkus ad it looks pretty interesting 
Id like to deploy on AWS some Quarkus native lambda as explained here   my goal is to leverage Java ecosystem power (and not have JS NPM based Lambda) and still having very low cold and warm execution time  in order to lower AWS billing 
I do not want to code the logic who maps the requests on the right controllers method  like this :

Too expensive to code and error prone  its a show stopper for me
Rather Id like to leverage a mechanism such as the one described here  : long story short the Lambda Handler maps the Lambda input data (Stream  Context  etc  ) to a Http Request and the JAX-RS implementation does the rest of the work  or something similar  responsibilities are not completely clear to me 
This is very interesting because you can continue write your controllers as always  with annotation and all the stuff and your lambda stays very simple and just maps the objects :

Do a ProxyStream implementation exist for Jersey  Spring and other framework  do a similar ProxyImplementation exist for Quarkus JAX-RS implementation (Jackson  )
"
44230875,"Im trying to make each call to lambda to log the billed duration  to track the cost of using lambda 
When you invoke lambda with SDK or CLI  you could easily get the LogResult by just adding the parameter 
Then you get the LogResult as a part of Response  where you can extract the billed duration 
Now  I was trying to do similar thing when we invoke lambda through API Gateway 
How could I get the LogResult and BilledDuration in this case 
"
51202756,"I have an AWS SQS queue that Im going to setup with a Lambda function trigger to run the Lambda function for every item that gets added to the queue to do some processing work 
One step of processing is going to be hitting an API endpoint to get some data back for every item added to the queue  then storing that away in an DynamoDB table  In order to manage costs  and stay in control of this process Im wanting to throttle the amount of times this Lambda function gets called in a certain period of time 
For example  I want this function to be run a maximum of 100 times per day  in order to not overwhelm the DynamoDB table capacity or the API endpoint  It would also be nice to throttle it  to where it will only have a maximum of 5 concurrent actions being run at once  with a 1 second delay between running again  This type of control would allow me to directly map the function to the DynamoDB table limits to ensure Im not going over capacity  and to I comply with any API rate limits  
I have looked into   Specifically the Function Level Concurrent Execution Limit section  But this section doesnt seem to address the 100 times per day limit  or the 1 second delay between running the next function 
I also know that I could just limit it on the other side  by limiting the number of items I put in the queue at a time (or per day)  But because of how Im planning this system  that would add a lot of complexity that I would love to try to avoid 
Is there a way using AWS SQS and Lambda to achieve this and limit these Lambda functions 
"
53781371,"I need to create something on Azure that can process incoming streams of messages for a set of entities  We will have anywhere between 20 and 2 000 entities at any point in time; these get created and discarded dynamically  Messages will be generated using our on-premises system  and sent to Azure using some queueing mechanism  Each message will be associated with a specific entity through an  property  Messages belonging to the same entity must be processed in-order with respect to each other  
At the same time  the solution must be scalable with respect to entities  If I have steady streams of messages for 1 000 entities  Id want to have 1 000 concurrent executions of my logic  If an entity takes a long time to process one of its messages  this must not block any of the other entities from processing their messages  Each message may take anywhere from 100ms to 10s to process (vast majority below 1s)  and each entity would receive an average of one message per second 
Disappointingly  the Azure serverless stack does not seem to have any means of achieving this  These are the options Ive considered and their problems:

Azure Functions triggered by Service Bus queue with sessions  Azure Functions can be run as serverless on a consumption plan  making them perfect for elastic scaling  Service Bus sessions provide for in-order delivery  and are the closest implementation of my requirements  However  they are not supported in Azure Functions:  
Logic Apps triggered by Service Bus queue with sessions: This is supported out-of-the-box through the  template  The Logic App can then hook to an HTTP-triggered Azure Function for processing messages  The Logic Apps only purpose is to prevent multiple messages belonging to the same entity/session from being processed concurrently  However  from the comments to my   I found this would not be scalable either  A Logic App can only execute 300 000 actions per 5 minutes  has a trigger concurrency limit of 50  and is said to be expensive  See  
Azure Event Hubs with partitions  as discussed in   This tends to be the most popular option  and the one recommended by Microsoft  However  Event Hubs only permit up to 32 partitions  with the number of partitions needing to be specified at creation:   This limitation of a fixed static set of partitions goes against the spirit of serverless; if were limiting our degree of parallelism to 32  then were not getting any better scalability than a parallel application running on a 32-core machine  The partition limit can be increased beyond 32 via a support ticket to Microsoft  but I wouldnt want to ask for scalability thats two orders of magnitude beyond whats available for general use  Event Hubs also lack some other basic properties  such as at-most-once delivery 
We can dynamically create a Service Bus queue per entity  and have a singleton Azure Function spawned for it  bound exclusively to that specific queue  However  this would entail invoking the Azure resource management APIs as part of our operational code  and my impression is that Azure Functions werent designed to be spawned dynamically this way 
Optimistic concurrency control against a persistent backing store  such as Redis  using the  property of the Service Bus queue messages for ordering  However  the programming model for this is quite complex and easy to get wrong – operations need to be performed in retry loops with consideration explicitly paid to atomicity and idempotency each time  Also  it requires all messages to contain the full entity state; otherwise  information would be lost when we discard stale messages in case of races  It would be expensive for us (in terms of computation and bandwidth) to send the full entity snapshot with each incremental change  so wed rather find a means that would allow us to process incremental messages in-order instead 

Is there any clean way of achieving in-order processing for a scalable number of entities on the Azure serverless stack 
"
59306187,"I noticed that we are racking up quite a bit of data transfer costs from RDS  I would like to understand what is causing it and if our networking architecture is flawed  
So heres the architecture:

Aurora cluster running on (Availability Zone) AZ-c   belonging to 3 public subnets (1 for each AZ)
Lambda in 3 private subnets (1 for each AZ)
Lambda is allowed to communicate with the RDS instance through a security group

I think the only reason why the RDS instance is in a public subnet is to avoid using a proxy to connect to it from the office (we have an SG allowing access from the lambda and our office IP) 
Should I try running the lambda only from 1 subnet  that is in the same AZ as the RDS cluster 
"
63146466,"Im working on a JAVA project which uploads files to AWS S3 bucket  Now I need to process those files in S3 (validate and send data to database) everyday at 8 00 a m  Im planning to use AWS scheduler for this  But Im confuse whats the scheduler I have to use and how to use  I went through documentation and found about AWS Batch and AWS cloud watch scheduler through Lambda  But I have no idea about whats the best way to use AWS scheduler in this scenario  Not sure weather AWS Batch works for this  Actually I need to consider the cost as well 
Im glad if you could suggest me the best way to resolve this  Alternative methods are also welcome 
P S: File process will take more than 15 mins  And also I need to config several other schedulers as well 
"
42853269,"Were integrating Amazons Alexa to work with our application  We have created a dictionary of items that Alexa might be asked  in DynamoDB  Now we need an algorithm to match the text from Alexa to the strings stored in the DynamoDB table which would be phonetically similar  but possibly differently spelled or with special characters in between  e g 

X-Men may be requested as xmen or ex men or x men
Claire may be requested as clare or clair

I find the  a plausible option  but i havent learnt enough about it yet  This could be pretty expensive too 
I also tried to find out if there are node modules that would help find similar strings that I could match against the database 
The  would probably not work for us either especially because we have the constraint of finding a single match and not a list of possible match for a single string input 
Eg  A search for  should return only  and not  and 
My last resort would be to write an Approximate String Matching Algorithm along with Levenshtein distance computing algorithm from scratch 
"
51130235,"* APOLOGIES for the IMAGES Posted * 
I am looking for potential cost cutting measures for an application that is hosted on AWS with the following configuration / setup 

EC2 Instances
Java Dynamic Web Application with Web Server  App Server
RDS - MySQL

The application is used 95% of the time for 1 week in a month  and the remaining time 5% distributed over the remaining 3 weeks 
For the sake of cost cutting so as to not pay for the EC2 instances  we are looking to go serverless 
My Background w r t  Cloud / AWS:

No Previous Professional Working Knowledge in any Cloud Based System except for EC2 where I was managing a Java Web Application with a similar setup as above 
I have only been searching online and reading a lot of websites / blogs 

I have prepared a presentation based on the materials I have read online  But I need expert opinion / confirmation that the solution options in the presentation are 

Possible to Implement
Not Too Complex to implement compared to the EC2 Implementation 
Potentially saves money as a generic case  compared to renting EC2 instances

The presentations slides are as below:















I am not limiting to AWS  but since current application is hosted on AWS would like to use the same platform 
But if similar implementations are possible using Azure or other platforms  we are open 
All that we are looking for is to cut costs 
I may be missing to provide some important information for you to help advice me  Please let me know what you need and I will get it for you 
Thanks 
Regards
"
44818898,"My handler python-function call another python-function in a new thread and return result on the next line - like this:

I already have result for client and for speed I want to return it NOW without waiting a few seconds for finishing of the second python-function  But I found that AWS Lambda terminates after few milliseconds after  in the handler 
I can extract my second python-function to the new Lambda and call it before  but I think that this will little more expensive for money and time 
Maybe exists some way to not shutdown Lambda after  in handler  I tried long  but of course this is not for such case 
"
44158457,"I have the following use case scenario for which I am considering aws services to see how I can come up with a scalable solution  Thanks in advance for your help 
Scenario: 
Users can sign up to an application(which is named say Lets Remind or something else) using their email and phone  
The app does one thing that is to send email and sms alerts to user 
User can create n number of tasks for which he wants to be reminded  For instance he can set up a 
monthly reminder for paying card dues  Currently the value of n is from 5 to 10 per user 
The notifications are flexible meaning it can be daily  weekly  monthly  bi-weekly  User can also 
specify the start date of a notification  The end date is the date when the event is due (for instance 
the day the card payment is due)  Once this date is expired the notification is rendered inactive for 
the current month  
For weekly daily bi-weekly notifications  the notifications are deleted once the event date is passed  
These are not recurring in nature 
For monthly recurring events such as payment of apartment rent etc  notification itself is not 
deleted but rendered inactive after the event due date  Once the next event cycle (typically next 
month billing cycle for payments use case) starts  the notification comes back to life and starts all 
over again 
Use can delete any event anytime he wants  If an event is deleted  the notifications for that event 
will be deleted as well 
First of all  I hope the use case is clear  Now heres my thoughts so far about solving this use case -
1) Use SNS since I need to send email and sms both  SES only supports emails 
2) When a user registers for the app  create 2 subscriptions(one for his email and one for his sms endpoint) and also create a topic for the user(maybe a dynamically generated random userid)
3) Once user creates an event (e g  reminder for monthly apartment rental)  store the event data such as userid  startdate  duedate  frequency  isactive in a dynamodb table 
4) Create a lambda function that will wake up when an entry is written to the dynamodb table (step 3); it will do the following -
i) it will read the event data from the dynamodb table
ii) determine the next date of the notification to be sent based on the current date and event 
data
iii) For active events (check isActive column of the dynamodb record) create a scheduled cron 
expression rule based on ii above in cloudwatch events and add the 
target as the users topic (created in step 2 above)  For now  the notification message is 
static 
I have some doubts/queries about step iii -
Is it possible to create cloudwatch event cron rule dynamically and add the users topic as target dynamically as I described  Or is it better to trigger a second lambda function dedicated for sending messages to the users topic using SNS notification  Which approach will be better for this use case 
If user base grows large  is it recommended to create one topic per user 
Am I on the right track with my approach above in general from a scalability point of view 
If not  can anyone suggest any better idea for implementing this use case 
Thanks in advance 
"
57155426,"I currently have one AWS Lambda function that is updating a DynamoDB table  and I need another Lambda function that needs to run after the data is updated  Is there any benefit to using a DynamoDB trigger in this case instead of invoking the second Lambda using the first one  
It looks like the programmatic invocation would give me more control over when the Lambda is called (ie  I could wait for several updates to occur before calling)  and reading from a DynamoDB Stream costs money while simply invoking the Lambda does not  
So  is there a benefit to using a trigger here  Or would I be better off invoking the Lambda myself 
"
42320204,"Im interested in hosting a website for a small business  (&lt; 100 users / month) and I wanted to try going serverless  Ive read that using Amazon S3  Lambda and DynamoDB is a way to set this up  by hosting the front-end on S3  using Lambda functions to access the back-end  and storing data in DynamoDB  Ill need to run a script on page load to get data to display  save user profiles/allow logins  and acccept payments using Stripe or Braintree  
Is this a good situation to use this setup  or am I better off just using EC2 with a LAMP stack  Which is better in terms of cost 
"
42878938,"I have an AWS lambda script that produces a json file  
and a django app on an AWS EC2 instance 
I want to make the json available to the django app 
The django app has a default sqlite3 db  how can I get lambda to post to EC2  
I am using the code below to post the results to a AWS RDS instance  but this might be costly for my needs and Id be better off updating a db in the django app  of possible 

(The lambda script is in python2)
"
61916850,"Problem Description 
I created a simple REST API using AWS Lambda and Im saving the data in AWS DynamoDB (all using Serverless framework)  The latter is defined as   Currently  the API is not very much used  however when the app scales  it can induce significant additional costs 
What I have tried
I came to the conclusion that there are two options:

either I cache the DB values
or I cache the API Gateway response

Although paid  I have tried the AWS DynamoDB DAX but its a paid feature and Im looking for an alternative (with code) to minimize requests to the Database when it comes to  requests that are unlikely to change within 24 hours  
I also made some research and found out that its possible to enable caching in API Gateway  but Im not sure whats the best/cost-effective method of doing this  Maybe someone has a practical example that explains how to achieve this 
"
54923071,"One Lambda is calling another in a synchronous manner  gets some data and continues in processing  
This means  the costs are taken into account for both Lambdas in the call time period 
Is it possible to use AWS Step Functions in this case without breaking the processing into a state machine blocks  which would make the code too complex 
Node js 8 10 code:

"
41707732,"Having trouble configuring AWS Lambda to be triggered by a Rule-&gt;Trigger as a Scheduled Event Source using CloudFormation (in reality  using Pythons Troposphere ) This has cost me a couple of days already  and any help would be appreciated 
Heres the relevant CF JSON snippet -

The AWS Lambda function shows zero invocations  and the Events-&gt;Rules metric shows the correct number of invocations  however they all fail  The Lambda shows the trigger in the Triggers section  and the Rule shows the lambda in its trigger sections  They link up fine 
However  if I go in and manually create the same trigger under the rule in the web console  it will happily start sending events to the Lambda  
PS - heres the troposphere code:

"
44126820,"Im trying to create an AWS Lambda function that is to be invoked by an Amazon Echo Skill  The Lambda function should connect to an MQTT broker  which is not in the AWS  and I noticed that the Lambda function alone was not able to access to the external resource  I have tried several configurations and it could connect to the broker after creating an NAT gateway  However  the NAT gateway is a charged service and I wonder if it is necessary 
Here is my question  Is it necessary to have the charged NAT gateway in my situation for the Lambda function to access to the external resource  If not  what else should I do  I would welcome any idea that would let an Echo Skill publish an MQTT message to my MQTT broker  even without the AWS Lambda 
Thanks 
"
55260750,"I am trying to send a Woocommerce webhook to AWS API Gateway  When i put in my API Gateway URL on Amazon I get the following error:

I think this is related to headers  there is an option to Create CORS in API-Gateway that I have now done  Which then adds an OPTION method but I still get  in Cloudwatch

I created a POST method and used the mapping template below with application/json and the setting 


Here is a mini Lambda Node function that just outputs a Woocommerce order number to the console and shows in Cloudwatch whether the API passthrough is working 

If anyone did want to have a go at re-creating this  you can knock up a quick Wordpress install on cPanel and install the Woocommerce Plugin  Setup a dummy product and then just use the Cash on Delivery as a payment method to get your Order Created webhooks firing  Only takes 2 minutes 
You can use  or webhook site to test out webhook outputs 
Can anyone help sorting out the Headers so i can pass a Woocommerce payload to API Gateway 
"
46733970,"when thinking about lambda costs for memory/requests  is there any evidence to suggest having larger functions with many package includes vs many smaller functions with minimal packages is a better option 
for example

vs

"
